   在 System.Windows.EventRoute.InvokeHandlersImpl(Object source, RoutedEventArgs args, Boolean reRaised)
   在 System.Windows.UIElement.RaiseEventImpl(DependencyObject sender, RoutedEventArgs args)
   在 System.Windows.UIElement.RaiseTrustedEvent(RoutedEventArgs args)
   在 System.Windows.UIElement.RaiseEvent(RoutedEventArgs args, Boolean trusted)
   在 System.Windows.Input.InputManager.ProcessStagingArea()
   在 System.Windows.Input.InputManager.ProcessInput(InputEventArgs input)
   在 System.Windows.Input.InputProviderSite.ReportInput(InputReport inputReport)
   在 System.Windows.Interop.HwndMouseInputProvider.ReportInput(IntPtr hwnd, InputMode mode, Int32 timestamp, RawMouseActions actions, Int32 x, Int32 y, Int32 wheel)
   在 System.Windows.Interop.HwndMouseInputProvider.FilterMessage(IntPtr hwnd, WindowMessage msg, IntPtr wParam, IntPtr lParam, Boolean& handled)
   在 System.Windows.Interop.HwndSource.InputFilterMessage(IntPtr hwnd, Int32 msg, IntPtr wParam, IntPtr lParam, Boolean& handled)
   在 MS.Win32.HwndWrapper.WndProc(IntPtr hwnd, Int32 msg, IntPtr wParam, IntPtr lParam, Boolean& handled)
   在 MS.Win32.HwndSubclass.DispatcherCallbackOperation(Object o)
   在 System.Windows.Threading.ExceptionWrapper.InternalRealCall(Delegate callback, Object args, Int32 numArgs)
   在 System.Windows.Threading.ExceptionWrapper.TryCatchWhen(Object source, Delegate callback, Object args, Int32 numArgs, Delegate catchHandler)
2017/2/9 0:22:21 对象：System.Windows.Threading.Dispatcher
2017/2/9 0:22:21 保存成功
2017/2/9 19:57:59 程序开始运行
2017/2/10 4:15:04 程序非正常退出！
2017/2/10 4:15:04 原因：Shutdown
2017/2/10 4:15:04 保存成功
2017/2/10 15:22:12 程序开始运行
2017/2/10 15:31:09 保存成功
2017/2/10 15:31:09 程序成功退出
2017/2/10 15:31:25 程序开始运行
2017/2/16 1:21:53 程序非正常退出！
2017/2/16 1:21:53 原因：Shutdown
2017/2/16 1:21:53 保存成功
2017/2/16 14:56:20 程序开始运行
2017/2/17 22:45:23 程序非正常退出！
2017/2/17 22:45:23 原因：Logoff
2017/2/17 22:45:23 保存成功
2017/2/17 22:46:12 程序开始运行
2017/2/18 2:32:32 程序非正常退出！
2017/2/18 2:32:32 原因：Shutdown
2017/2/18 2:32:32 保存成功
2017/2/18 15:20:51 程序开始运行
2017/2/19 1:45:33 程序非正常退出！
